child,parent,parent_type,child_prediction,can_reverse
Molly Gordon,Jessie Nelson,mother,,False
Molly Gordon,Bryan Gordon,father,,False
Hailee Steinfeld,Cheri Steinfeld,mother,Hailee Steinfeld,True
Hailee Steinfeld,Peter Steinfeld,father,Hailee Steinfeld,True
Hannah Waddingham,Melodie Waddingham,mother,Ruby Rose,False
Hannah Waddingham,Mel Waddingham,father,,False
Rory Culkin,Patricia Brentrup,mother,Macaulay Culkin,False
Rory Culkin,Kit Culkin,father,Macaulay Culkin,False
Harrison Ford,Dora Nidelman,mother,Barbra Streisand,False
Harrison Ford,Christopher Ford,father,Harrison Ford,True
Tom Cruise,Mary Lee Pfeiffer,mother,Brad Pitt,False
Tom Cruise,Thomas Mapother III,father,Tom Cruise,True
Carol Kane,Joyce Kane,mother,Chris Pine,False
Carol Kane,Michael Myron Kane,father,Chelsea Kane,False
Alexandra Daddario,Christina Daddario,mother,Alexandra Daddario,True
Alexandra Daddario,Richard C. Daddario,father,Alexandra Daddario,True
Gal Gadot,Irit Gadot,mother,Gal Gadot,True
Gal Gadot,Michael Gadot,father,Gal Gadot,True
Tom Holland,Nikki Holland,mother,Tom Holland,True
Tom Holland,Dominic Holland,father,Tom Holland,True
Hayley Atwell,Alison Atwell,mother,,False
Hayley Atwell,Grant Atwell,father,Hayley Atwell,True
Salma Hayek,Diana Jiménez Medina,mother,Salma Hayek,True
Salma Hayek,Sami Hayek Dominguez,father,Salma Hayek,True
Ana de Armas,Ana Rodriguez,mother,Jennifer Lopez,False
Will Poulter,Caroline Poulter,mother,,False
Will Poulter,Neil Poulter,father,Will Poulter,True
Anson Mount,Nancy Smith,mother,Hilary Duff,False
Anson Mount,Anson Adams Mount II,father,Anson Mount,True
Margot Robbie,Sarie Kessler,mother,Margot Robbie,True
Margot Robbie,Doug Robbie,father,Margot Robbie,True
Nicolas Cage,Joy Vogelsang,mother,Nicolas Cage,True
Nicolas Cage,August Coppola,father,Nicolas Cage,True
Henry Cavill,Marianne Cavill,mother,Henry Cavill,True
Henry Cavill,Colin Cavill,father,Henry Cavill,True
Juno Temple,Amanda Pirie,mother,Taron Egerton,False
Juno Temple,Julien Temple,father,Juno Temple,True
Cailee Spaeny,Rejoice Spaeny,mother,Cailee Spaeny,True
Cailee Spaeny,Mark Spaeny,father,Cailee Spaeny,True
Treat Williams,Marian Andrew Williams,mother,,False
Treat Williams,Richard Norman Williams,father,Robbie Williams,False
Alexander Skarsgård,My Skarsgård,mother,Alexander Skarsgård,True
Alexander Skarsgård,Stellan Skarsgård,father,Alexander Skarsgård,True
Rebecca Romijn,Elizabeth Kuizenga Romijn,mother,Rebecca Romijn,True
Rebecca Romijn,Jaap Romijn,father,Rebecca Romijn,True
Rebecca Romijn,Elizabeth Kuizenga Romijn,mother,Rebecca Romijn,True
Rebecca Romijn,Jaap Romijn,father,Rebecca Romijn,True
Anya Taylor-Joy,Dennis Alan Taylor,father,Taylor Swift,False
Sophia Lillis,Juliana Mellevold,mother,,False
Sophia Lillis,David Lillis,father,Finn Wolfhard,False
Aaron Paul,Darla Sturtevant,mother,Mark Wahlberg,False
Aaron Paul,Robert Sturtevant,father,Ben Stiller,False
Elliot Page,Martha Philpotts,mother,Anne Hathaway,False
Elliot Page,Dennis Page,father,,False
Robin Tunney,Cathy Tunney,mother,Robin Tunney,True
Robin Tunney,Patrick Tunney,father,Robin Tunney,True
Jenna Ortega,Natalie Ortega,mother,Jenna Ortega,True
Jenna Ortega,Edward Ortega,father,,False
Zoe Saldana,Asalia Nazario,mother,Ricky Martin,False
Zoe Saldana,Aridio Saldaña,father,Zoe Saldana,True
Ben Mendelsohn,Carole Ann Mendelsohn,mother,,False
Ben Mendelsohn,Frederick Arthur Oscar Mendelsohn,father,Ben Mendelsohn,True
Jeremy Allen White,Sherry White,mother,Rachel McAdams,False
Keanu Reeves,Patricia Taylor,mother,Keanu Reeves,True
Keanu Reeves,Samuel Nowlin Reeves Jr.,father,Keanu Reeves,True
Scarlett Johansson,Melanie Sloan,mother,Scarlett Johansson,True
Scarlett Johansson,Karsten Olaf Johansson,father,Scarlett Johansson,True
James Cameron,Shirley Cameron,mother,Kirk Cameron,False
James Cameron,Phillip Cameron,father,Kirk Cameron,False
Pedro Pascal,Verónica Pascal,mother,Pedro Pascal,True
Pedro Pascal,José Balmaceda,father,Isabel Allende,False
Kaley Cuoco,Layne Ann Cuoco,mother,Kaley Cuoco,True
Kaley Cuoco,Gary Carmine Cuoco,father,Kaley Cuoco,True
Samuel L. Jackson,Elizabeth Harriett Montgomery,mother,Hugh Grant,False
Samuel L. Jackson,Roy Henry Jackson,father,Samuel L. Jackson,True
Florence Pugh,Deborah Pugh,mother,Ashton Kutcher,False
Florence Pugh,Clinton Pugh,father,,False
Shea Whigham,Beth Whigham,mother,Shea Whigham,True
Shea Whigham,Beth Whigham,father,Shea Whigham,True
Michael Keaton,Leona Elizabeth Loftus,mother,Cillian Murphy,False
Michael Keaton,George A. Douglas,father,Michael Keaton,True
Christopher Nolan,Brenda Nolan,mother,,False
Christopher Nolan,Brendan James Nolan,father,,False
Tom Hanks,Janet Marylyn Frager,mother,Adam Levine,False
Tom Hanks,Amos Mefford Hanks,father,Tom Hanks,True
Clint Eastwood,Margaret Ruth Runner,mother,Ryan Gosling,False
Gabriel Macht,Suzanne Victoria Pulier,mother,Leighton Meester,False
Gabriel Macht,Stephen Macht,father,Gabriel Macht,True
Jake Gyllenhaal,Naomi Foner,mother,Jake Gyllenhaal,True
Jake Gyllenhaal,Stephen Gyllenhaal,father,Jake Gyllenhaal,True
Leonardo DiCaprio,Irmelin Indenbirken,mother,Leonardo DiCaprio,True
Leonardo DiCaprio,George DiCaprio,father,Leonardo DiCaprio,True
Jason Schwartzman,Talia Shire,mother,Jason Schwartzman,True
Jason Schwartzman,Talia Shire,father,Jason Schwartzman,True
Sydney Sweeney,Lisa Mudd Sweeney,mother,,False
Sydney Sweeney,Scott Sweeney,father,Alison Brie,False
James Marsden,Kathleen Marsden,mother,Harry Styles,False
James Marsden,James Luther Marsden,father,James Marsden,True
Jesse Plemons,Lisa Beth Cason,mother,Carson Daly,False
Jesse Plemons,Jim Bob Plemons,father,Jesse Plemons,True
Alan Ritchson,Vickie Ritchson,mother,,False
Alan Ritchson,David Ritchson,father,Alan Ritchson,True
Cillian Murphy,Brendan Murphy,father,Cillian Murphy,True
Meghan Markle,Doria Ragland,mother,Meghan Markle,True
Meghan Markle,Thomas Markle Sr.,father,Meghan Markle,True
Nicole Kidman,Janelle Ann Kidman,mother,Nicole Kidman,True
Nicole Kidman,Antony Kidman,father,Nicole Kidman,True
Daisy Head,Sarah Fisher,mother,Carrie Fisher,False
Daisy Head,Anthony Head,father,Emily Head,False
Mckenna Grace,Crystal Grace,mother,,False
Mckenna Grace,Ross Burge,father,,False
Kate Winslet,Sally Bridges-Winslet,mother,Kate Winslet,True
Kate Winslet,Roger Winslet,father,Kate Winslet,True
Rose Byrne,Jane Byrne,mother,,False
Rose Byrne,Robin Byrne,father,Rose Byrne,True
Alana De La Garza,Manny De La Garza,father,Demi Lovato,False
Willa Holland,Darnell Gregorio-De Palma,mother,Bridget Moynahan,False
Willa Holland,Brian De Palma,father,Piper De Palma,False
Chris Pratt,Kathy Pratt,mother,Chris Pratt,True
Chris Pratt,Daniel Clifton Pratt,father,Chris Pratt,True
Ben Affleck,Christine Anne Boldt,mother,Ben Affleck,True
Ben Affleck,Timothy Byers Affleck,father,Ben Affleck,True
Vanessa Kirby,Jane Kirby,mother,,False
Vanessa Kirby,Roger Kirby,father,,False
Brad Pitt,Jane Etta Pitt,mother,Brad Pitt,True
Brad Pitt,William Alvin Pitt,father,Brad Pitt,True
Juliette Lewis,Glenis Batley,mother,Sam Smith,False
Juliette Lewis,Geoffrey Lewis,father,Juliette Lewis,True
Natalie Alyn Lind,Barbara Alyn Woods,mother,Natalie Alyn Lind,True
Natalie Alyn Lind,John Lind,father,Jenny Lind,False
Gerard Butler,Margaret Butler,mother,Gerard Butler,True
Gerard Butler,Edward Butler,father,Gerard Butler,True
Josh O'Connor,John O'Connor,father,Sinéad O'Connor,False
Mia Sara,Diana Saraceni,mother,Kate Mara,False
Mia Sara,Jerome Sarapochiello,father,Marisa Tomei,False
Glenda Jackson,Rita Jackson,mother,,False
Glenda Jackson,Harry Jackson,father,50 Cent (Curtis Jackson),False
Sylvester Stallone,Jackie Stallone,mother,Sylvester Stallone,True
Sylvester Stallone,Frank Stallone Sr.,father,Sylvester Stallone,True
Michelle Rodriguez,Carmen Milady Rodriguez,mother,Pitbull (Armando Christian Pérez),False
Michelle Rodriguez,Rafael Rodriguez,father,Alex Rodriguez,False
Leah Lewis,Lida Lewis,mother,,False
Tom Hardy,Anne Hardy,mother,Tom Hardy,True
Melissa Rauch,Susan Rauch,mother,,False
Melissa Rauch,David Rauch,father,Kaley Cuoco,False
Brie Larson,Heather Edwards,mother,,False
Brie Larson,Sylvain Desaulniers,father,Céline Dion,False
Nicholas Hoult,Glenis Hoult,mother,Nicholas Hoult,True
Nicholas Hoult,Roger Hoult,father,Nicholas Hoult,True
Kristen Johnston,Rodney Johnston,mother,,False
Kristen Johnston,Rod Johnston,father,,False
Phoebe Waller-Bridge,Teresa Waller-Bridge,mother,Phoebe Waller-Bridge,True
Phoebe Waller-Bridge,Michael Cyprian Waller-Bridge,father,Phoebe Waller-Bridge,True
Cole Hauser,Cass Warner,mother,Cole Hauser,True
Cole Hauser,Wings Hauser,father,Cole Hauser,True
Robert De Niro,Virginia Admiral,mother,Robert De Niro,True
Robert De Niro,Robert De Niro Sr.,father,Robert De Niro Jr.,True
Karen Allen,Patricia Howell Allen,mother,Kris Allen,False
Karen Allen,Carroll Thompson Allen,father,Tim Allen,False
Linda Hamilton,Barbara K. Hamilton,mother,Ashley Hamilton,False
Linda Hamilton,Carroll Stanford Hamilton,father,Linda Hamilton,True
Scott Adkins,Janet Adkins,mother,,False
Halle Bailey,Courtney Bailey,mother,,False
Halle Bailey,Doug Bailey,father,Chloe Bailey,False
Erica Durance,Gail Durance,mother,Erica Durance,True
Erica Durance,Joel Durance,father,Erica Durance,True
Helen Slater,Alice Joan Citrin,mother,Adam Levine,False
Helen Slater,Gerald Slater,father,,False
Chloë Grace Moretz,Teri Duke Moretz,mother,Chloë Grace Moretz,True
Chloë Grace Moretz,McCoy Lee Moretz,father,Chloë Grace Moretz,True
Vin Diesel,Delora Vincent,mother,Vin Diesel,True
Keri Russell,Stephanie Stephens,mother,Chris Evans,False
Keri Russell,David Russell,father,Keri Russell,True
Jason Statham,Eileen Yates Statham,mother,Jason Statham,True
Jason Statham,Barry Statham,father,Jason Statham,True
Poppy Montgomery,Nicola Montgomery,mother,,False
Poppy Montgomery,Phil Donahue,father,Phil Donahue's most famous child is Chris Donahue, a film producer.,False
Margaret Qualley,Andie MacDowell,mother,Margaret Qualley,True
Margaret Qualley,Paul Qualley,father,Margaret Qualley,True
Jennifer Connelly,Eileen Connelly,mother,,False
Jennifer Connelly,Gerard Connelly,father,Jennifer Connelly,True
Hilarie Burton,Lisa Burton,mother,Dove Cameron,False
Hilarie Burton,Bill Burton,father,LeVar Burton,False
Dagmara Dominczyk,Miroslawa Dominczyk,mother,Patrick Wilson,False
Dagmara Dominczyk,Mirek Domińczyk,father,Marika Domińczyk,False
Timothée Chalamet,Nicole Flender,mother,Timothée Chalamet,True
Timothée Chalamet,Marc Chalamet,father,Timothée Chalamet,True
Quentin Tarantino,Connie McHugh,mother,Zac Efron,False
Quentin Tarantino,Tony Tarantino,father,Quentin Tarantino,True
Johnny Depp,Betty Sue Palmer,mother,Johnny Depp,True
Johnny Depp,John Christopher Depp,father,Johnny Depp,True
Olivia Colman,Mary Leakey,mother,,False
Olivia Colman,Keith Colman,father,,False
Idris Elba,Eve Elba,mother,Idris Elba,True
Idris Elba,Winston Elba,father,Idris Elba,True
Jonah Hauer-King,Debra Hauer,mother,,False
Jonah Hauer-King,Jeremy King,father,,False
Matthew McConaughey,Mary Kathleen McCabe,mother,Leonardo DiCaprio,False
Matthew McConaughey,James Donald McConaughey,father,Matthew McConaughey,True
Jeffrey Dean Morgan,Sandy Thomas,mother,Channing Tatum,False
Jeffrey Dean Morgan,Richard Dean Morgan,father,Jeffrey Dean Morgan,True
Sarah Rafferty,Mimi Rafferty,mother,,False
Sarah Rafferty,Michael Griffin Rafferty Jr.,father,Sam Rafferty,False
Steven Spielberg,Leah Adler,mother,Steven Spielberg,True
Steven Spielberg,Arnold Spielberg,father,Steven Spielberg,True
Amanda Seyfried,Ann Seyfried,mother,Amanda Seyfried,True
Amanda Seyfried,Jack Seyfried,father,Amanda Seyfried,True
Emmy Rossum,Cheryl Rossum,mother,Emmy Rossum,True
Emmy Rossum,Cheryl Rossum,father,Emmy Rossum,True
Rachel Brosnahan,Carol Brosnahan,mother,Kate Spade,False
Rachel Brosnahan,Earl Brosnahan,father,Kate Spade,False
Melissa Roxburgh,Shelley Roxburgh,mother,Richard Harmon,False
Melissa Roxburgh,David Roxburgh,father,Richard Roxburgh,False
Jason Bateman,Victoria Elizabeth Bateman,mother,Jesse Eisenberg,False
Jason Bateman,Kent Bateman,father,Jason Bateman,True
Kim Cattrall,Shane Cattrall,mother,Kim Cattrall,True
Kim Cattrall,Dennis Cattrall,father,Kim Cattrall,True
Ryan Reynolds,Tammy Reynolds,mother,Ryan Reynolds,True
Ryan Reynolds,James Reynolds,father,Ryan Reynolds,True
Brett Goldstein,Fiona Goldstein,mother,,False
Brett Goldstein,Terry Goldstein,father,,False
Elizabeth Olsen,Jarnette Olsen,mother,Mary-Kate and Ashley Olsen,False
Elizabeth Olsen,David Olsen,father,Mary-Kate and Ashley Olsen,False
Robert Downey Jr.,Elsie Ann Downey,mother,Robert Downey Jr.,True
Robert Downey Jr.,Robert Downey Sr.,father,Robert Downey Jr.,True
Kevin Costner,Sharon Rae Tedrick Costner,mother,Kevin Costner,True
Kevin Costner,Bill Costner,father,Kevin Costner,True
Darren Barnet,Victoria Barnet,mother,,False
Darren Barnet,Charlie Barnet Jr.,father,,False
Bryce Dallas Howard,Cheryl Howard,mother,Bryce Dallas Howard,True
Bryce Dallas Howard,Ron Howard,father,Bryce Dallas Howard,True
Adam Sandler,Judy Sandler,mother,Adam Sandler,True
Adam Sandler,Stanley Sandler,father,Adam Sandler,True
Awkwafina,Tia Awkwafina,mother,,False
Awkwafina,Wally Lum,father,,False
Guy Ritchie,Amber Parkinson,mother,,False
Guy Ritchie,John Vivian Ritchie,father,Guy Ritchie,True
Ryan Gosling,Donna Gosling,mother,Ryan Gosling,True
Ryan Gosling,Thomas Gosling,father,Ryan Gosling,True
Jason Momoa,Coni Momoa,mother,Jason Momoa,True
Jason Momoa,Joseph Momoa,father,Jason Momoa,True
Kieran Culkin,Patricia Brentrup,mother,Macaulay Culkin,False
Kieran Culkin,Kit Culkin,father,Macaulay Culkin,False
Teresa Palmer,Paula Sanders,mother,,False
Teresa Palmer,Kevin Palmer,father,Margot Robbie,False
Natasha Lyonne,Ivette Buchinger,mother,,False
Natasha Lyonne,Aaron Braunstein,father,Jennifer Grey,False
Katee Sackhoff,Mary Sackhoff,mother,Katee Sackhoff,True
Katee Sackhoff,Dennis Sackhoff,father,Katee Sackhoff,True
Lauren Cohan,Susan Cohan,mother,Lea Michele,False
Travis Fimmel,Jennie Fimmel,mother,Travis Fimmel,True
Travis Fimmel,Chris Fimmel,father,Travis Fimmel,True
Christian Bale,Jenny James,mother,Nicki Minaj,False
Christian Bale,David Bale,father,Christian Bale,True
Dwayne Johnson,Ata Johnson,mother,Dwayne "The Rock" Johnson,False
Dwayne Johnson,Rocky Johnson,father,Dwayne "The Rock" Johnson,False
Emily Blunt,Joanna Blunt,mother,Emily Blunt,True
Emily Blunt,Oliver Simon Peter Blunt,father,Emily Blunt,True
Aubrey Plaza,Bernadette Plaza,mother,Aubrey Plaza,True
Aubrey Plaza,David Plaza,father,,False
Lilly Krug,Veronica Ferres,mother,Lilly Krug,True
Lilly Krug,Heiko Krug,father,Toni Garrn,False
Lauren Lee Smith,Rick Smith,father,Jaden Smith,False
Mel Gibson,Anne Patricia Reilly Gibson,mother,Mel Gibson,True
Mel Gibson,Hutton Gibson,father,Mel Gibson,True
Maya Hawke,Uma Thurman,mother,Maya Hawke,True
Maya Hawke,Ethan Hawke,father,Maya Hawke,True
Mary Lynn Rajskub,Peggy Rajskub,mother,Mary Lynn Rajskub,True
Mary Lynn Rajskub,Edward Rajskub,father,Mary Lynn Rajskub,True
Jason Sudeikis,Kathryn Sudeikis,mother,Jason Sudeikis,True
Jason Sudeikis,Dan Sudeikis,father,Jason Sudeikis,True
Betty Gilpin,Ann McDonough,mother,Matthew Broderick,False
Betty Gilpin,Jack Gilpin,father,Betty Gilpin,True
Aparna Brielle,Girija Parthasarathy,father,Kamal Haasan,False
Hannah John-Kamen,Fred John-Kamen,father,Hannah John-Kamen,True
Karen Gillan,Marie Gillan,mother,Karen Gillan,True
Karen Gillan,Raymond John Gillan,father,Karen Gillan,True
Charlize Theron,Gerda Maritz,mother,Charlize Theron,True
Charlize Theron,Charles Theron,father,Charlize Theron,True
Cassidy Freeman,Glynna Freeman,mother,Matthew McConaughey,False
Cassidy Freeman,Lee Freeman,father,Morgan Freeman,False
Brian Cox,Molly Cox,mother,Chris Cox,False
Denzel Washington,Lennis Washington,mother,Denzel Washington,True
Denzel Washington,Denzel Hayes Washington, Sr.,father,Denzel Washington,True
Bill Skarsgård,My Skarsgård,mother,Alexander Skarsgård,False
Bill Skarsgård,Stellan Skarsgård,father,Alexander Skarsgård,False
Jonathan Majors,Monica Lisa.,mother,,False
Patrick J. Adams,Rowan Marsh,mother,,False
Patrick J. Adams,Claude Adams,father,,False
Amy Brenneman,Frederica Brenneman,mother,Amy Brenneman,True
Amy Brenneman,Russell Langdon Brenneman,father,Amy Brenneman,True
Matthew Macfadyen,Meiko Macfadyen,mother,Matthew Macfadyen,True
Matthew Macfadyen,Martin Macfadyen,father,Matthew Macfadyen,True
Lee Pace,Charlotte Pace,mother,Lee Pace,True
Lee Pace,James Roy Pace,father,Lee Pace,True
Abby Elliott,Paula Niedert Elliott,mother,Chris Elliott,False
Abby Elliott,Chris Elliott,father,Abby Elliott,True
Dermot Mulroney,Ellen Mulroney,mother,Ben Mulroney,False
Dermot Mulroney,Michael Mulroney,father,Dermot Mulroney,True
Lizzy Caplan,Barbara Caplan,mother,Barbra Streisand,False
Lizzy Caplan,Richard Caplan,father,Lizzy Caplan,True
Lindsay Wagner,Marilyn Louise Thrasher,mother,,False
Lindsay Wagner,William Wagner,father,Kristina Wagner,False
Maggie Siff,David Siff,father,,False
Melanie Lynskey,Kay Lynskey,mother,Melanie Lynskey,True
Melanie Lynskey,Tim Lynskey,father,Melanie Lynskey,True
Alison Doody,Joan Doody,mother,,False
Alison Doody,Patrick Doody,father,,False
Ebon Moss-Bachrach,Renee Moss,mother,,False
Ebon Moss-Bachrach,Eric Bachrach,father,Zachary Levi,False
Chris Pine,Gwynne Gilford,mother,Chris Pine,True
Chris Pine,Robert Pine,father,Chris Pine,True
Kristen Stewart,Jules Mann-Stewart,mother,Kristen Stewart,True
Kristen Stewart,John Stewart,father,Kristen Stewart,True
Kathryn Newton,Robin Newton,mother,Olivia Newton-John,False
Kathryn Newton,David Newton,father,,False
Timothy Olyphant,Katherine Lyon Gideon,mother,Ben Platt,False
Timothy Olyphant,J.V. Bevan Olyphant,father,Timothy Olyphant,True
Rachel Zegler,Laura Zegler,mother,,False
Rachel Zegler,Craig Zegler,father,Rachel Zegler,True
Russell Crowe,Jocelyn Yvonne Crowe,mother,Russell Crowe,True
Russell Crowe,John Alexander Crowe,father,Russell Crowe,True
Walton Goggins,Janet Long Goggins,mother,David Goggins,False
Richard Madden,Pat Madden,mother,Hugh Jackman,False
The Weeknd,Makkonen Tesfaye,mother,The Weeknd (Abel Tesfaye),True
The Weeknd,Makkonen Tesfaye,father,The Weeknd (Abel Tesfaye),True
George Clooney,Nina Bruce Warren,mother,Bradley Cooper,False
George Clooney,Nick Clooney,father,George Clooney,True
Elizabeth Banks,Ann Mitchell,mother,Julia Roberts,False
Elizabeth Banks,Mark P. Mitchell,father,,False
John Goodman,Virginia Roos Loosmore,mother,Benedict Cumberbatch,False
John Goodman,Leslie Francis Goodman,father,John Goodman,True
Hari Nef,Robin Clebnik,mother,Adam Levine,False
Hari Nef,David Nef,father,Bella Thorne,False
Michelle Monaghan,Sharon Monaghan,mother,Michelle Monaghan,True
Michelle Monaghan,Robert Monaghan,father,Michelle Monaghan,True
Jeremy Strong,Jeanne Strong,mother,Mark Strong,False
Ariel Winter,Chrisoula Workman,mother,Ariel Winter,True
Ariel Winter,Glenn Workman,father,Ariel Winter,True
Martin Scorsese,Catherine Scorsese,mother,Martin Scorsese,True
Martin Scorsese,Charles Scorsese,father,Martin Scorsese,True
Travis Van Winkle,Sally Van Winkle,mother,John C. Reilly,False
Travis Van Winkle,Charles Van Winkle,father,Kurt Russell,False
Samara Weaving,Helena Bezzina,mother,,False
Samara Weaving,Simon Weaving,father,Hugo Weaving,False
Brendan Fraser,Carol Mary Fraser,mother,,False
Brendan Fraser,Peter Fraser,father,Brendan Fraser,True
Portia Doubleday,Christina Hart,mother,Kaley Cuoco,False
Portia Doubleday,Frank Doubleday,father,Kaitlin Doubleday,False
Emma Stone,Krista Stone,mother,Emma Stone,True
Emma Stone,Jeff Stone,father,Emma Stone,True
Shameik Moore,Sharon Moore,mother,Shemar Moore,False
Shameik Moore,Errol Moore,father,Shemar Moore,False
Geraldine Viswanathan,Anja Raith,mother,Bill Kaulitz,False
Geraldine Viswanathan,Suresh Viswanathan,father,Padma Lakshmi,False
Ethan Peck,Francine Matarazzo,mother,Anne Hathaway,False
Ethan Peck,Gregory Peck,father,Cecilia Peck,False
Kaitlin Olson,Melinda Olson,mother,,False
Kaitlin Olson,Donald Lee Olson,father,Kristen Wiig,False
Michael Shannon,Barbara Miller Shannon,mother,Leonardo DiCaprio,False
Michael Shannon,Donald Sutherlin Shannon,father,Molly Shannon,False
Millie Bobby Brown,Kelly Brown,mother,Millie Bobby Brown,True
Millie Bobby Brown,Robert Brown,father,Millie Bobby Brown,True
Matt Damon,Nancy Carlsson-Paige,mother,Matt Damon,True
Matt Damon,Kent Damon,father,Matt Damon,True
Sam Worthington,Jeanne J. Martyn,mother,,False
Sam Worthington,Ronald W. Worthington,father,Sam Worthington,True
Monica Bellucci,Brunella Briganti,mother,Monica Bellucci,True
Monica Bellucci,Pasquale Bellucci,father,Monica Bellucci,True
Kathleen Turner,Patsy Turner,mother,,False
Kathleen Turner,Allen Richard Turner,father,Tina Turner,False
Shailene Woodley,Lori Woodley,mother,Shailene Woodley,True
Shailene Woodley,Lonnie Woodley,father,Shailene Woodley,True
Harriet Walter,Xandra Gleeson,mother,Domhnall Gleeson,False
Harriet Walter,Roderick Walter.,father,Hugh Grant,False
Abigail Spencer,Yancy Spencer III,mother,,False
Abigail Spencer,Yancy Spencer III,father,Abigail Spencer,True
Mackenyu,Yoshie Maeda,mother,Kiko Mizuhara,False
Mackenyu,Sonny Chiba,father,Juri Manase,False
Elisha Cuthbert,Patricia Cuthbert,mother,Elisha Cuthbert,True
Elisha Cuthbert,Kevin Cuthbert,father,,False
Jennifer Garner,Patricia Ann Garner,mother,Jennifer Garner,True
Jennifer Garner,William John Garner,father,Jennifer Garner,True
Kiernan Shipka,Erin Ann Shipka,mother,Kiernan Shipka,True
Kiernan Shipka,John D. Shipka,father,Kiernan Shipka,True
Ariana DeBose,Gina DeBose,mother,,False
Riley Keough,Lisa Marie Presley,mother,Riley Keough,True
Riley Keough,Danny Keough,father,Lisa Marie Presley,False
Mary Elizabeth Winstead,Betty Lou Winstead,mother,Reese Witherspoon,False
Mary Elizabeth Winstead,James Ronald Winstead,father,Mary Elizabeth Winstead,True
Eiza González,Gloria Patricia Reyna,mother,,False
Eiza González,Carlos González,father,Eva Mendes,False
Caitríona Balfe,Anne Connolly,mother,Jennifer Aniston,False
Ryan Hurst,Candace Kaniecki,mother,Chris Pratt,False
Ryan Hurst,Rick Hurst,father,,False
Christopher Reeve,Barbara Pitney Lamb,mother,Tom Hanks,False
Christopher Reeve,Franklin D'Olier Reeve,father,Christopher Reeve,True
Oscar Isaac,María Eugenia Estrada Nicolle,mother,Karol Sevilla,False
Oscar Isaac,Óscar Gonzalo Hernández-Cano,father,Óscar Isaac,False
Angourie Rice,Kate Rice,mother,,False
Angourie Rice,Jeremy Rice,father,,False
Shia LaBeouf,Shayna Saide,mother,Shia LaBeouf,True
Shia LaBeouf,Jeffrey Craig LaBeouf,father,Shia LaBeouf,True
Megan Fox,Gloria Darlene Fox,mother,Johnny Depp,False
Megan Fox,Franklin Thomas Fox,father,Megan Fox,True
Meryl Streep,Mary Wilkinson Streep,mother,Meryl Streep,True
Meryl Streep,Harry William Streep Jr.,father,Meryl Streep,True
Erin Sanders,Kathy Silbert-Sanders,mother,Adam Sandler,False
Erin Sanders,Marc Sanders,father,,False
Selma Blair,Molly Ann Cooke,mother,,False
Selma Blair,Elliot I. Beitner,father,Chelsea Handler,False
Mark Wahlberg,Alma Wahlberg,mother,Mark Wahlberg,True
Mark Wahlberg,Donald Wahlberg,father,Mark Wahlberg,True
Rosamund Pike,Caroline Friend,mother,Emma Watson,False
Rosamund Pike,Julian Pike,father,,False
Morena Baccarin,Vera Setta,mother,Wagner Moura,False
Morena Baccarin,Fernando Baccarin,father,Morena Baccarin,True
